epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3945,1.92956,2.46231,1.36766,0.82948,0.38903,0.46558,0.20282,1.7268,2.94365,1.2822,0.00025,0.00025,0.00025
2,22.5737,1.74786,1.49642,1.28815,0.84554,0.70187,0.78483,0.39494,1.62151,1.31759,1.21797,0.000502353,0.000502353,0.000502353
3,30.6537,1.7451,1.2715,1.30697,0.70482,0.7307,0.73341,0.35907,1.63936,1.16653,1.22968,0.00074431,0.00074431,0.00074431
4,39.9293,1.75782,1.29661,1.27387,0.69797,0.72473,0.73016,0.38037,1.69557,1.18996,1.22284,0.000975872,0.000975872,0.000975872
5,49.5862,1.73093,1.22624,1.25327,0.76411,0.67916,0.74713,0.33882,1.80467,1.56899,1.27902,0.001151,0.001151,0.001151
6,57.9855,1.7352,1.16828,1.26748,0.84101,0.70227,0.75321,0.39078,1.6133,1.14821,1.23061,0.00112625,0.00112625,0.00112625
7,66.6,1.7032,1.10331,1.25001,0.7938,0.7369,0.76852,0.38937,1.6116,1.01063,1.22978,0.0011015,0.0011015,0.0011015
8,74.8161,1.6897,1.08835,1.26348,0.81196,0.79372,0.80791,0.40992,1.55369,1.01213,1.19903,0.00107675,0.00107675,0.00107675
9,83.8083,1.6582,1.06887,1.23411,0.8403,0.77326,0.79361,0.41255,1.596,0.97357,1.22629,0.001052,0.001052,0.001052
10,92.9647,1.68541,1.04156,1.22865,0.82295,0.80355,0.82852,0.38902,1.67986,0.99872,1.28822,0.00102725,0.00102725,0.00102725
11,100.874,1.64742,1.04228,1.21669,0.82866,0.79194,0.8088,0.40804,1.62917,0.91748,1.24595,0.0010025,0.0010025,0.0010025
12,109.917,1.61495,1.0078,1.20005,0.81291,0.79889,0.81502,0.36673,1.75847,0.96097,1.22132,0.00097775,0.00097775,0.00097775
13,119.167,1.68482,1.00312,1.21182,0.84784,0.83059,0.83282,0.42074,1.58533,0.87269,1.22121,0.000953,0.000953,0.000953
14,126.968,1.59034,0.96212,1.19516,0.89067,0.82987,0.87316,0.42585,1.6037,0.97267,1.23728,0.00092825,0.00092825,0.00092825
15,136.376,1.5668,0.946,1.17554,0.90122,0.84049,0.85063,0.43621,1.5564,0.84434,1.23239,0.0009035,0.0009035,0.0009035
16,144.585,1.56197,0.94491,1.18553,0.88983,0.79812,0.85534,0.43581,1.51775,0.90234,1.19738,0.00087875,0.00087875,0.00087875
17,153.246,1.5552,0.94821,1.17733,0.89132,0.81141,0.82589,0.44491,1.52076,0.83644,1.1716,0.000854,0.000854,0.000854
18,162.376,1.59249,0.94873,1.20238,0.90037,0.80944,0.86266,0.43818,1.56946,0.81134,1.20725,0.00082925,0.00082925,0.00082925
19,170.062,1.53832,0.90867,1.16542,0.88827,0.80628,0.85345,0.46024,1.54056,0.81983,1.16339,0.0008045,0.0008045,0.0008045
20,179.406,1.55169,0.89224,1.16876,0.86551,0.85837,0.85809,0.43897,1.58569,0.8025,1.18294,0.00077975,0.00077975,0.00077975
21,187.732,1.50466,0.87516,1.12587,0.89207,0.83552,0.857,0.45901,1.59709,0.81377,1.18602,0.000755,0.000755,0.000755
22,196.274,1.50302,0.86675,1.14202,0.88895,0.83874,0.8489,0.47278,1.54012,0.78557,1.17392,0.00073025,0.00073025,0.00073025
23,205.357,1.48771,0.83748,1.12733,0.9067,0.82546,0.87611,0.45702,1.57064,0.79923,1.1759,0.0007055,0.0007055,0.0007055
24,213.101,1.46977,0.84539,1.12698,0.82942,0.87634,0.87496,0.45116,1.56851,0.78841,1.17081,0.00068075,0.00068075,0.00068075
25,222.093,1.4761,0.84053,1.12941,0.86017,0.86952,0.87254,0.43977,1.57474,0.77271,1.17902,0.000656,0.000656,0.000656
26,230.865,1.46974,0.81507,1.11973,0.86942,0.84643,0.85321,0.46145,1.51138,0.77233,1.15851,0.00063125,0.00063125,0.00063125
27,238.822,1.44483,0.80473,1.10842,0.92842,0.81469,0.87224,0.44804,1.50448,0.75658,1.1613,0.0006065,0.0006065,0.0006065
28,248.071,1.42342,0.79471,1.10202,0.93913,0.82542,0.88942,0.46096,1.53637,0.73759,1.15798,0.00058175,0.00058175,0.00058175
29,256.31,1.42591,0.78485,1.09782,0.91281,0.81326,0.86417,0.45939,1.53232,0.74706,1.17945,0.000557,0.000557,0.000557
30,265.056,1.43083,0.79497,1.10551,0.91187,0.85325,0.87825,0.46109,1.57175,0.75167,1.1909,0.00053225,0.00053225,0.00053225
31,273.897,1.37909,0.74743,1.07142,0.90641,0.84358,0.86476,0.4484,1.54259,0.73341,1.17186,0.0005075,0.0005075,0.0005075
32,282.035,1.37797,0.75551,1.09338,0.90316,0.84773,0.86936,0.45202,1.53558,0.73802,1.1705,0.00048275,0.00048275,0.00048275
33,291.079,1.39258,0.74979,1.07802,0.88523,0.85977,0.86996,0.42593,1.58572,0.76649,1.16362,0.000458,0.000458,0.000458
34,299.729,1.3634,0.74333,1.07937,0.88571,0.81832,0.84853,0.45489,1.55424,0.75289,1.16622,0.00043325,0.00043325,0.00043325
35,307.747,1.34964,0.73087,1.06481,0.83619,0.84258,0.83333,0.43899,1.61234,0.72906,1.17597,0.0004085,0.0004085,0.0004085
36,317.046,1.34235,0.7303,1.07346,0.92551,0.87815,0.8835,0.44487,1.5711,0.7212,1.16192,0.00038375,0.00038375,0.00038375
37,325.41,1.3213,0.71361,1.06442,0.90543,0.86614,0.88449,0.44944,1.52572,0.71068,1.16467,0.000359,0.000359,0.000359
38,334.018,1.33491,0.72481,1.06451,0.88982,0.86733,0.88101,0.46125,1.53325,0.70157,1.15792,0.00033425,0.00033425,0.00033425
39,343.083,1.31959,0.71318,1.05679,0.88661,0.86954,0.87469,0.45866,1.56021,0.70582,1.16784,0.0003095,0.0003095,0.0003095
40,350.933,1.29547,0.69808,1.05994,0.93705,0.81817,0.87648,0.46717,1.54752,0.68442,1.1575,0.00028475,0.00028475,0.00028475
41,361.718,1.25492,0.65333,1.06577,0.8473,0.88316,0.87795,0.45554,1.53793,0.68203,1.1528,0.00026,0.00026,0.00026
42,370.704,1.27707,0.64511,1.07321,0.85545,0.8763,0.87723,0.46345,1.5184,0.67513,1.16164,0.00023525,0.00023525,0.00023525
43,378.259,1.2603,0.63511,1.05408,0.9147,0.88316,0.882,0.46559,1.53617,0.67076,1.16167,0.0002105,0.0002105,0.0002105
44,386.792,1.2515,0.63148,1.04825,0.91615,0.86008,0.87821,0.44874,1.57968,0.70072,1.17717,0.00018575,0.00018575,0.00018575
45,394.684,1.22054,0.6163,1.04709,0.90388,0.86701,0.88899,0.44915,1.53649,0.67301,1.16116,0.000161,0.000161,0.000161
46,403.027,1.21218,0.60936,1.03525,0.89607,0.8705,0.88469,0.46684,1.52093,0.67329,1.15805,0.00013625,0.00013625,0.00013625
47,411.718,1.1681,0.59344,1.03194,0.88319,0.88453,0.882,0.46543,1.55951,0.66947,1.16304,0.0001115,0.0001115,0.0001115
48,419.276,1.18176,0.60046,1.01493,0.91894,0.86185,0.8806,0.46817,1.53367,0.65521,1.15555,8.675e-05,8.675e-05,8.675e-05
49,427.97,1.16712,0.58703,1.01621,0.93447,0.87197,0.89418,0.46938,1.55335,0.65776,1.16086,6.2e-05,6.2e-05,6.2e-05
50,435.735,1.1591,0.5872,1.02218,0.93771,0.87353,0.89616,0.46964,1.53923,0.65322,1.15657,3.725e-05,3.725e-05,3.725e-05
