epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.282,1.93869,4.01754,1.33737,0.01206,0.1625,0.04472,0.01755,1.66212,3.87585,1.11107,0.000125,0.000125,0.000125
2,18.0362,1.8601,2.93467,1.19823,0.04197,0.56382,0.1514,0.0695,1.70385,3.36185,1.12184,0.000257303,0.000257303,0.000257303
3,24.4679,1.80085,2.15653,1.21393,0.05406,0.64678,0.18525,0.0872,1.71884,3.08614,1.14792,0.00038416,0.00038416,0.00038416
4,31.7706,1.77757,1.86377,1.21621,0.03399,0.65708,0.2706,0.12609,1.60336,2.92158,1.15113,0.000505572,0.000505572,0.000505572
5,38.5585,1.74022,1.64052,1.20836,0.03341,0.61775,0.30659,0.15145,1.5791,2.96397,1.12899,0.00062154,0.00062154,0.00062154
6,46.1983,1.71009,1.54901,1.19794,0.0378,0.71949,0.41824,0.20805,1.57578,2.61993,1.153,0.000732063,0.000732063,0.000732063
7,52.5467,1.69327,1.46503,1.19271,0.96152,0.28597,0.54182,0.26898,1.69305,2.25471,1.18219,0.00083714,0.00083714,0.00083714
8,60.0524,1.65064,1.35625,1.18365,0.79165,0.41626,0.63625,0.30666,1.6478,1.93373,1.15891,0.000936772,0.000936772,0.000936772
9,65.8179,1.68882,1.34867,1.19509,0.85544,0.60494,0.69698,0.35491,1.65586,1.89002,1.17594,0.00103096,0.00103096,0.00103096
10,73.4445,1.68162,1.30392,1.20455,0.69609,0.63918,0.5662,0.27504,1.76968,1.69245,1.20093,0.00102725,0.00102725,0.00102725
11,79.527,1.65446,1.22628,1.15437,0.8519,0.6851,0.75868,0.37897,1.682,1.33821,1.16502,0.0010025,0.0010025,0.0010025
12,86.694,1.64641,1.2029,1.1693,0.81268,0.66488,0.6958,0.34146,1.7338,1.37798,1.21831,0.00097775,0.00097775,0.00097775
13,92.8209,1.63143,1.16562,1.15333,0.81924,0.62883,0.67739,0.3074,1.92331,1.27255,1.2359,0.000953,0.000953,0.000953
14,100.215,1.65062,1.1473,1.15111,0.86192,0.66747,0.73824,0.37707,1.72042,1.17781,1.22992,0.00092825,0.00092825,0.00092825
15,105.806,1.61889,1.14071,1.15174,0.87653,0.71566,0.77144,0.4157,1.56666,1.06182,1.17097,0.0009035,0.0009035,0.0009035
16,113.115,1.58925,1.13292,1.16141,0.80308,0.75411,0.78094,0.40975,1.5387,1.01309,1.14265,0.00087875,0.00087875,0.00087875
17,119.313,1.59054,1.12983,1.15063,0.8224,0.7298,0.77648,0.41996,1.5802,1.05128,1.19127,0.000854,0.000854,0.000854
18,125.748,1.59415,1.10541,1.14524,0.91287,0.76172,0.83403,0.42471,1.59678,0.95072,1.15162,0.00082925,0.00082925,0.00082925
19,132.935,1.58758,1.11473,1.1603,0.83476,0.72783,0.81045,0.43318,1.56595,1.01803,1.17871,0.0008045,0.0008045,0.0008045
20,138.888,1.60047,1.10049,1.15131,0.85974,0.76627,0.82384,0.41108,1.58446,0.99183,1.16025,0.00077975,0.00077975,0.00077975
21,146.415,1.53873,1.04046,1.11351,0.92297,0.7698,0.83795,0.43965,1.52205,0.93104,1.12744,0.000755,0.000755,0.000755
22,152.225,1.53568,1.05725,1.1102,0.87301,0.79325,0.81727,0.42288,1.52349,0.90648,1.13467,0.00073025,0.00073025,0.00073025
23,159.707,1.51972,1.00609,1.10601,0.88844,0.74328,0.80637,0.43142,1.58631,0.93187,1.14138,0.0007055,0.0007055,0.0007055
24,165.699,1.53103,1.01892,1.12382,0.92934,0.77985,0.82414,0.44071,1.52941,0.89492,1.14739,0.00068075,0.00068075,0.00068075
25,172.857,1.53802,1.02659,1.12582,0.84781,0.79672,0.83703,0.44466,1.52991,0.88153,1.12884,0.000656,0.000656,0.000656
26,178.71,1.55959,1.02154,1.11082,0.9202,0.76245,0.81024,0.4396,1.53494,0.86222,1.13754,0.00063125,0.00063125,0.00063125
27,186.004,1.50584,0.95807,1.10276,0.92309,0.79578,0.84006,0.44719,1.56024,0.83178,1.13825,0.0006065,0.0006065,0.0006065
28,191.964,1.50254,0.96831,1.10765,0.90266,0.78454,0.8337,0.44373,1.56251,0.83493,1.14465,0.00058175,0.00058175,0.00058175
29,199.568,1.48777,0.94273,1.09308,0.8939,0.78768,0.81003,0.41499,1.65593,0.88128,1.1639,0.000557,0.000557,0.000557
30,205.529,1.47713,0.93041,1.08776,0.9392,0.7994,0.831,0.42833,1.56754,0.83909,1.12909,0.00053225,0.00053225,0.00053225
31,212.093,1.46771,0.91168,1.07986,0.90589,0.79129,0.80921,0.41818,1.56631,0.85361,1.13356,0.0005075,0.0005075,0.0005075
32,218.868,1.47551,0.94052,1.10492,0.87771,0.80307,0.83702,0.43864,1.5347,0.83563,1.12022,0.00048275,0.00048275,0.00048275
33,225.346,1.48262,0.91554,1.07876,0.89874,0.80153,0.81144,0.41887,1.55765,0.86654,1.13462,0.000458,0.000458,0.000458
34,232.287,1.45877,0.89303,1.07321,0.90972,0.80773,0.83421,0.43237,1.55832,0.828,1.12473,0.00043325,0.00043325,0.00043325
35,238.343,1.44929,0.8886,1.07228,0.91258,0.81898,0.8446,0.45985,1.53547,0.79416,1.13193,0.0004085,0.0004085,0.0004085
36,245.791,1.43656,0.87773,1.07481,0.90029,0.82435,0.84736,0.44796,1.54797,0.79804,1.12656,0.00038375,0.00038375,0.00038375
37,251.716,1.43211,0.87975,1.0757,0.90603,0.81001,0.83927,0.43163,1.55359,0.78763,1.13437,0.000359,0.000359,0.000359
38,259.096,1.40607,0.86925,1.06592,0.8905,0.81788,0.84069,0.43841,1.53552,0.77987,1.12464,0.00033425,0.00033425,0.00033425
39,265.056,1.40796,0.86376,1.05918,0.88215,0.83127,0.8547,0.45765,1.50478,0.78244,1.1177,0.0003095,0.0003095,0.0003095
40,272.54,1.41736,0.85921,1.0628,0.90522,0.8312,0.84731,0.45035,1.50505,0.7757,1.10573,0.00028475,0.00028475,0.00028475
41,282.155,1.36369,0.84461,1.07343,0.88491,0.81177,0.84402,0.46053,1.53234,0.78142,1.11702,0.00026,0.00026,0.00026
42,289.584,1.40056,0.83892,1.09129,0.88496,0.8365,0.84602,0.45957,1.54673,0.78015,1.10976,0.00023525,0.00023525,0.00023525
43,295.136,1.37031,0.81715,1.06625,0.89898,0.83238,0.8412,0.43261,1.59303,0.78186,1.11202,0.0002105,0.0002105,0.0002105
